peer_addr = 172.16.253.11:5556
test begin!

BlockID  bct  BlockSize  Priority  Deadline
      2209     14119     28535         2       200
      2217     14112      1235         1       200
      2221     14128     81305         2       200
      2225     14127      1275         1       200
      2229     14112      1940         1       200
      2233     14117     26700         2       200
      2237     14117      1190         1       200
      2241     14123     66070         2       200
      2249     14113      1275         1       200
      2245     14112      1195         1       200
      2253     14119     29460         2       200
      2257     14112      1205         1       200
      2261     14112      1265         1       200
      2265     14126     88000         2       200
      2269     14112      1200         1       200
      2273     14112      1240         1       200
      2277     14116     28610         2       200
      2281     14111      1285         1       200
      2285     14113      1290         1       200
      2289     14125     76370         2       200
      2297     14112      1250         1       200
      2293     14112      1290         1       200
      2301     14121     32975         2       200
      2305     14145      1325         1       200
      2309     14145      1295         1       200
      2313     14124     56760         2       200
      2317     14113      1260         1       200
      2321     14114      1265         1       200
      2325     14119     34525         2       200
      2329     14114      1235         1       200
      2333     14114      1270         1       200
      2341     14113      1260         1       200
      2337     14127     90450         2       200
      2345     14112      1260         1       200
      2349     14119     35795         2       200
      2353     14112      1245         1       200
      2357     14112      1320         1       200
      2361     14120     55295         2       200
      2365     14117      1300         1       200
      2369     14113      1315         1       200
      2373     14117     32355         2       200
      2377     14112      1255         1       200
      2381     14112      1275         1       200
      2389     14116      1275         1       200
      2385     14129     96505         2       200
      2393     14113      1255         1       200
      2397     14118     31430         2       200
      2401     14112      1295         1       200
      2405     14113      1275         1       200
      2409     14120     52715         2       200
      2413     14112      1300         1       200
      2417     14111      1240         1       200
      2421     14203     30480         2       200
      2425     14115      1280         1       200
      2429     14112      1280         1       200
      2437     14113      1340         1       200
      2433     14133     95435         2       200
      2441     14113      1295         1       200
      2445     14118     28995         2       200
      2449     14118      1285         1       200
      2453     14112      1275         1       200
      2457     14122     52085         2       200
      2461     14122      1300         1       200
      2465     14113      1300         1       200
      2473     14118      1330         1       200
      2469     14119     30315         2       200
      2477     14112      1360         1       200
      2485     14130      1270         1       200
      2481     14130     91330         2       200
      2489     14113      1230         1       200
      2493     14119     30860         2       200
      2497     14119      1295         1       200
      2501     14112      1325         1       200
      2509     14123      1200         1       200
      2505     14123     51060         2       200
      2513     14117     34190         2       200
      2521     14113      1275         1       200
      2517     14113      1235         1       200
      2525     14129     93445         2       200
      2529     14114      1305         1       200
      2533     14114      1300         1       200
      2537     14122     32485         2       200
      2541     14114      1285         1       200
      2545     14116      1320         1       200
      2549     14124     54100         2       200
      2557     14113      1315         1       200
      2553     14113      1270         1       200
      2561     14120     29490         2       200
      2565     14115      1305         1       200
      2569     14115      1265         1       200
      2577     14112      1255         1       200
      2573     14127     97540         2       200
      2581     14114      1285         1       200
      2585     14117     31035         2       200
      2589     14112      1315         1       200
      2593     14113      1300         1       200
      2597     14121     53040         2       200
      2601     14113      1305         1       200
      2605     14113      1305         1       200
      2609     14117     32030         2       200
      2613     14113      1335         1       200
      2617     14114      1290         1       200
      2621     14126     91920         2       200
      2625     14114      1260         1       200
      2629     14115      1320         1       200
      2633     14117     31315         2       200
      2637     14113      1290         1       200
      2641     14112      1270         1       200
      2645     14119     52790         2       200
      2649     14112      1260         1       200
      2653     14113      1275         1       200
      2657     14120     29335         2       200
      2661     14115      1280         1       200
      2665     14114      1335         1       200
      2673     14115      1265         1       200
      2669     14133     97615         2       200
      2677     14112      1285         1       200
      2681     14119     32725         2       200
      2685     14115      1270         1       200
      2689     14113      1345         1       200
      2693     14123     53150         2       200
      2697     14113      1420         1       200
      2701     14113      1810         1       200
      2709     14115      1300         1       200
      2705     14120     30085         2       200
      2713     14114      1295         1       200
      2717     14131     85020         2       200
      2721     14131      1285         1       200
      2725     14115      1180         1       200
      2729     14120     31280         2       200
      2733     14121      1140         1       200
      2737     14113      1200         1       200
      2745     14126      1120         1       200
      2741     14125     53555         2       200
      2749     14112      1205         1       200
      2757     14119      1190         1       200
      2753     14120     30930         2       200
      2761     14113      1205         1       200
      2773     14122     31165         2       200
      2769     14206      1185         1       200
      2765     14205     86340         2       200
      2777     14113      1150         1       200
      2781     14114      1290         1       200
      2785     14123     52350         2       200
      2793     14114      1280         1       200
      2789     14114      1190         1       200
      2797     14118     31005         2       200
      2805     14113      1260         1       200
      2801     14113      1225         1       200
      2809     14127     77730         2       200
      2817     14113      1255         1       200
      2813     14113      1250         1       200
      2821     14118     33265         2       200
      2829     14113      1250         1       200
      2825     14113      1250         1       200
      2833     14123     52350         2       200
      2837     14113      1270         1       200
      2841     14114      1270         1       200
      2845     14119     35020         2       200
      2849     14115      1300         1       200
      2853     14112      1235         1       200
      2857     14127     65795         2       200
      2861     14113      1260         1       200
      2865     14112      1250         1       200
      2869     14121     33940         2       200
      2873     14114      1270         1       200
      2877     14113      1260         1       200
      2881     14123     56125         2       200
      2885     14113      1315         1       200
      2889     14114      1265         1       200
      2893     14165     40675         2       200
      2897     14115      1245         1       200
      2901     14113      1280         1       200
      2905     14124     50000         2       200
      2909     14114      1250         1       200
      2913     14115      1290         1       200
      2917     14119     42190         2       200
      2921     14113      1290         1       200
      2925     14114      1305         1       200
      2933     14114      1270         1       200
      2937     14114      1300         1       200
      2941     14116      8835         2       200
      2945     14112      1270         1       200
      2949     14115      1295         1       200
      2953     14118      5600         2       200
      2957     14114      1260         1       200
      2961     14113      1260         1       200
      2969     14115      1310         1       200
      2965     14131     92610         2       200
      2973     14112      1275         1       200
      2981     14116      1265         1       200
      2977     14116      6870         2       200
      2985     14115      1250         1       200
      2989     14118     12090         2       200
      2993     14118      1305         1       200
      2997     14115      1255         1       200
      3005     14117      1255         1       200
      3001     14117      9080         2       200
      3009     14113      1280         1       200
      3013     14128     72260         2       200
      3017     14130      1300         1       200
      3021     14113      1335         1       200
      3025     14117      6690         2       200
      3029     14117      1340         1       200
      3033     14118     13030         2       200
      3037     14115      1270         1       200
      3041     14116      1315         1       200
      3045     14117      7965         2       200
      3049     14115      1310         1       200
      3053     14115      1305         1       200
      3057     14128     72960         2       200
      3065     14114      1275         1       200
      3061     14114      1245         1       200
      3069     14116      8215         2       200
      3073     14114      1275         1       200
      3077     14116      1250         1       200
      3081     14117     12140         2       200
      3089     14114      1295         1       200
      3085     14114      1305         1       200
      3093     14116      6445         2       200
      3097     14114      1260         1       200
      3101     14114      1290         1       200
      3105     14126     66780         2       200
      3109     14115      1315         1       200
      3113     14115      1335         1       200
      3117     14117      7305         2       200
      3121     14115      1275         1       200
      3125     14114      1270         1       200
      3129     14118     11590         2       200
      3133     14114      1255         1       200
      3137     14115      1330         1       200
      3141     14116      6940         2       200
      3145     14113      1270         1       200
      3149     14115      1250         1       200
      3153     14124     60500         2       200
      3157     14114      1255         1       200
      3161     14114      1290         1       200
      3165     14116      6465         2       200
      3169     14114      1300         1       200
      3173     14113      1305         1       200
      3177     14117     11740         2       200
      3181     14115      1275         1       200
      3185     14114      1270         1       200
      3189     14116      6010         2       200
      3193     14115      1285         1       200
      3197     14115      1245         1       200
      3201     14126     55965         2       200
      3205     14116      1275         1       200
      3209     14114      1320         1       200
      3213     14116      6865         2       200
      3217     14115      1295         1       200
      3221     14114      1240         1       200
      3229     14116      1290         1       200
      3225     14126     54495         2       200
      3233     14115      1270         1       200
      3237     14118      7775         2       200
      3241     14118      1340         1       200
      3245     14115      1275         1       200
      3253     14121      1260         1       200
      3249     14121     19075         2       200
      3257     14114      1275         1       200
      3265     14116      1260         1       200
      3261     14116      6370         2       200
      3269     14116      1290         1       200
      3273     14131     73835         2       200
      3277     14131      1285         1       200
      3281     14115      1345         1       200
      3285     14116      8630         2       200
      3289     14116      1250         1       200
      3293     14119     16875         2       200
      3297     14114      1290         1       200
      3301     14116      1355         1       200
      3305     14117      7090         2       200
      3353     14121      6450         2       200
      3341     14159     15720         2       200
      3325     14218      1265         1       200
      3349     14142      1340         1       200
      3337     14179      1255         1       200
      3329     14197      6535         2       200
      3321     14217      1295         1       200
      3309     14248      1275         1       200
      3333     14179      1295         1       200
      3317     14236     63230         2       200
      3345     14141      1325         1       200
      3313     14248      1255         1       200
      3357     14116      1265         1       200
      3361     14116      1285         1       200
      3365     14124     53595         2       200
      3369     14115      1245         1       200
      3373     14114      1265         1       200
      3377     14117      7520         2       200
      3381     14115      1295         1       200
      3385     14115      1240         1       200
      3389     14118     18410         2       200
      3393     14115      1275         1       200
      3397     14115      1240         1       200
      3401     14117      6315         2       200
      3405     14115      1280         1       200
      3409     14116      1285         1       200
      3413     14124     50150         2       200
      3417     14115      1275         1       200
